0,92,67
1,91,68
2,88,73
3,90,72
4,93,66
5,96,68
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,87,70
14,90,71
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,97,49
32,102,58
33,98,53
34,97,49
35,102,54
36,102,54
37,101,54
38,101,52
39,100,54
40,107,57
41,98,54
42,96,55
43,92,55
44,91,49
45,85,59
46,84,61
47,79,61
48,77,62
49,57,103
50,56,101
51,56,107
52,57,110
53,64,72
54,55,68
55,54,69
56,31,70
57,31,73
58,32,69
59,32,70
60,34,68
61,35,66
62,35,68
63,36,67
64,35,67
65,35,67
66,34,71
67,66,70
68,69,71
69,34,74
70,46,74
71,65,66
72,69,65
73,34,80
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,111,44
91,114,46
92,117,48
93,117,47
94,144,49
95,145,55
96,145,54
97,145,54
98,144,54
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,108,61
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,74,52
138,77,47
139,74,47
140,80,48
141,80,48
142,81,49
143,78,42
144,83,49
145,81,42
146,85,49
147,85,49
148,85,49
149,87,41
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,86,42
162,84,45
163,86,43
164,84,52
165,85,52
166,86,53
167,86,54
168,90,50
169,87,56
170,87,55
171,87,59
172,87,58
173,86,59
174,83,61
175,89,61
176,88,61
177,91,63
178,91,62
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,88,67
186,97,61
187,96,63
188,93,67
189,96,66
190,106,66
191,118,75
192,110,71
193,111,71
194,114,80
195,97,100
196,80,95
197,83,97
198,82,95
199,83,96
200,84,98
201,85,96
202,85,97
203,86,98
204,87,96
205,89,91
206,89,97
207,88,97
208,88,88
209,85,87
210,86,85
211,86,86
212,81,85
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,53,74
234,51,50
235,84,52
236,78,83
237,59,62
238,61,57
239,98,68
240,93,70
241,93,68
242,99,69
243,98,74
244,99,72
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
